Granulocytes,T_lymphocytes,Pericytes,Macro_Mono,Macrophage,Monocyte,Natural_killer,Regulatory_T_lymphocytes,Endothelial_cells,Tumor_cells,Prolif_cells,B_lymphocytes,Dendritic_cells,Neutrophiles,Smooth_muscle,Ciliated_cells,IL cells
TPSAB1,CD8A,RGS5,C1QA,CYBB,MS4A4A,NKG7,TIGIT,RAMP2,CA9,STMN1,MS4A1,CD1C,CXCR2,COL4A2,RSPH1,PTPRC
TPSB2,CD8B,ACTA2,C1QC,SPI1,CD163,GNLY,CTLA4,TM4SF1,KRT8,TUBB,CD79B,PKIB,PROK2,COL3A1,C5orf49,GATA3
HPGDS,GZMH,MYH11,C1QB,MNDA,FCGR1A,#CD3E,SOD1,RNASE1,KRT18,TOP2A,BTG1,INSIG1,MNDA,EMILIN1,TEKT1,TBX21
CPA3,GZMA,MT1M,GPR34,NCF2,C5AR1,CTSW,TNFRSF4,EGFL7,PDK4,HMGB2,VPREB3,CLEC10A,S100A8,MFAP4,CAPS,IL7RA
HPGD,PTPRC,FRZB,CSF1R,HCK,SLCO2B1,GZMA,TNFRSF18,RAMP3,VEGFA,CDK1,BANK1,C15orf48,HCAR3,PLAC9,C20orf85,RORC
MS4A2,CD4,MT1A,MS4A4A,PLEK,,GZMB,RTKN2,PLVAP,NNMT,MKI67,CD79A,PPA1,FCGR3B,COL1A2,TPPP3,
RGS13,CD3D,,S100A9,HLA-DMB,,GZMH,FOXP3,AQP1,VCAM1,,IGLL5,FCER1A,CMTM2,BGN,FAM183A,
CTSG,CD3E,,FCN1,MS4A6A,,KLRB1,,ECSCR,FAM3C,,CXCL13,CST3,MS4A2,PDE5A,CFAP126,
LY6B,IL7R,,S100A8,VCAN,,KLRC3,,FKBP1A,KLK8,,CD79A,ADAMDEC1,,,FOXJ1,
GR1,CCR7,,LYZ,MMP12,,KLRD1,,EMP1,LMOD1,,,CD209A,,,ERICH3,
LY6C,S100A4,,CD300E,TNF,,KLRF1,,VWF,POSTN,,,ITGAX,,,TEKT2,
LY6G,RGCC,,CPVL,ITGAM,,KLRK1,,EMCN,BTG1,,CD19,PTPRC,,,CCDC173,
CCRL2,TRAV5,,ZNF385A,ADGRE1,,NCR1,,RSPH1,CLDN1,,TNFRSF13C,CD8A,,,CFAP43,
LCN2,CL40LG,,,FCGR1A,,PRF1,,C5orf49,CCR7,,PTPRC,ITGAM,,,DRC1,
FCGR3,CD69,,,FCGR3A,,XCL1,,TEKT1,RPL28,,FOXP1,LY75,,,CCDC39,
HP,KIR2DL4,,,FCGR2B,,XCL2,,CLEC14A,FAM3C,,LY6D,CCR2,,,CCDC39,
PGLYRP1,CD8B,,,PTPRC,,IFNG-AS1,,GNG11,MSLN,,BANK1,NAPSA,,,,
ITGAM,EGR1,,,CD163,,RGCC,,CDH5,CCL5,,CR2,ITGAE,,,,
,IL32,,,LILRA5,,KLRF2,,SPARCL1,COL8A1,,FCMR,CD209A,,,,
,TRAC,,,LTC4S,,KIR2DL4,,CLDN5,POSTN,,H2-OA,FLT3,,,,
,CD3G,,,LY96,,KLRA7,,CAPS,CXCR4,,H2-OB,CLEC4C,,,,
,TRBC2,,,MGL2,,KLRA8,,C20orf85,CD74,,,NRP1,,,,
,IL2,,,P2RX4,,KLRA9,,TPPP3,LEF1,,,THBD,,,,
,,,,P2RY6,,KLRC1,,FAM183A,HSPA,,,,,,,
,,,,PLA2G15,,KLRC2,,CFAP126,TPT1,,,CLEC4A4,,,,
,,,,PLTP,,NKG7,,FOXJ1,TSHZ2,,,CLEC10A,,,,
,IL17A,,,SCPEP1,,LY6C2,,ERICH3,LYPD3,,,SIRPA,,,,
,,,,TIMD4,,NCR1,,TEKT2,TCF7,,,BST2,,,,
,,,,TMEM106A,,KLRE1,,CCDC173,EEF1A1,,,XCR1,,,,
,CD3G,,,TNFAIP812,,KLRD1,,,S1PR1,,,,,,,
,PTPRC,,,C3ARL,,KLRK1,,,B3GNT3,,,,,,,
,CD247,,,LYVEL,,DOK2,,,RBM47,,,,,,,
,TRBC1,,,DAB2,,CD244,,,ETS2,,,,,,,
,TRBC2,,,MRC1,,GZMA,,,ICAM1,,,,,,,
,LCK,,,MSR1,,EOMES,,,RAC2,,,,,,,
,SKAP1,,,SIRPA,,,,,B2M,,,,,,,
,TCF7,,,STAB1,,,,,HLA-E,,,,,,,
,LAT,,,TREM2,,,,,PTPRC,,,,,,,
,CD4,,,CXCL16,,,,,ASPM,,,,,,,
,SELL,,,CSF1R,,,,,TOP2A,,,,,,,
,CCR7,,,CX3CR1,,,,,TPX2,,,,,,,
,IL7R,,,ADGRE1,,,,,KIF4A,,,,,,,
,FOXP3,,,CD68,,,,,PBK,,,,,,,
,IL2RA,,,CD14,,,,,KIF20A,,,,,,,
,FAS,,,,,,,,RPL35,,,,,,,
,CTLA4,,,,,,,,RPL22,,,,,,,
,PDCD1,,,,,,,,RPL36,,,,,,,
,HAVCR2,,,,,,,,RPL23A,,,,,,,
,ICOS,,,,,,,,GNB2L1,,,,,,,
,TIGIT,,,,,,,,KRT7,,,,,,,
,ENTPD1,,,,,,,,CXCL17,,,,,,,
,CD244,,,,,,,,S100A14,,,,,,,
,EOMES,,,,,,,,TMEM45A,,,,,,,
,,,,,,,,,SFTA2,,,,,,,
,,,,,,,,,CADM1,,,,,,,
,,,,,,,,,SUSD2,,,,,,,
,,,,,,,,,PEBP4,,,,,,,
,,,,,,,,,HNRNPA1,,,,,,,
,,,,,,,,,DCN,,,,,,,
,,,,,,,,,NR2F1,,,,,,,
